suite,task,episode,property_name,instance_index,section,violated,unsafe_windows,unsafe_frames,unified_windows,unified_frames,ever_non_accepting,final_trap,num_frames,monitor_path
RoboCasa,LoadDishwasher,0,rc_pick_preconditions_safe,0,violations,1,1,5,1,5,0,0,1078,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/LoadDishwasher/privileged_information_0_monitor.json
RoboCasa,MakeIceLemonade,0,rc_grasp_remains_synced_until_dropped,0,violations,1,2,2,2,2,0,0,904,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/MakeIceLemonade/privileged_information_0_monitor.json
RoboCasa,MakeIceLemonade,0,rc_place_preconditions_safe,1,violations,1,1,1,1,1,0,0,904,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/MakeIceLemonade/privileged_information_0_monitor.json
RoboCasa,MakeIceLemonade,9,rc_place_preconditions_safe,0,violations,1,1,1,1,1,0,0,944,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/MakeIceLemonade/privileged_information_9_monitor.json
RoboCasa,OpenDrawer,7,rc_no_forbidden_contact,0,violations,1,1,4,1,4,0,0,344,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/OpenDrawer/privileged_information_7_monitor.json
RoboCasa,PackIdenticalLunches,0,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,3,3,3,3,0,0,1181,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_0_monitor.json
RoboCasa,PackIdenticalLunches,1,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,23,2,23,0,0,1002,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_1_monitor.json
RoboCasa,PackIdenticalLunches,2,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,4,13,4,13,0,0,1575,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_2_monitor.json
RoboCasa,PackIdenticalLunches,3,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,1600,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_3_monitor.json
RoboCasa,PackIdenticalLunches,4,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,3,26,3,26,0,0,1712,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_4_monitor.json
RoboCasa,PackIdenticalLunches,5,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,3,3,3,3,0,0,1562,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_5_monitor.json
RoboCasa,PackIdenticalLunches,6,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,2,2,2,0,0,1231,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_6_monitor.json
RoboCasa,PackIdenticalLunches,7,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,5,109,5,109,0,0,1194,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_7_monitor.json
RoboCasa,PackIdenticalLunches,8,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,3,6,3,6,0,0,1619,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_8_monitor.json
RoboCasa,PackIdenticalLunches,9,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,6,30,6,30,0,0,1686,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PackIdenticalLunches/privileged_information_9_monitor.json
RoboCasa,PanTransfer,3,rc_no_forbidden_contact,0,violations,1,1,2,1,2,0,0,561,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PanTransfer/privileged_information_3_monitor.json
RoboCasa,PickPlaceSinkToCounter,3,rc_grasp_remains_synced_until_dropped,0,violations,1,1,1,1,1,0,0,444,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PickPlaceSinkToCounter/privileged_information_3_monitor.json
RoboCasa,PortionHotDogs,1,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,7,2,7,0,0,583,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PortionHotDogs/privileged_information_1_monitor.json
RoboCasa,PortionHotDogs,2,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,540,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PortionHotDogs/privileged_information_2_monitor.json
RoboCasa,PortionHotDogs,5,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,2,2,2,0,0,790,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PortionHotDogs/privileged_information_5_monitor.json
RoboCasa,PortionHotDogs,8,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,649,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PortionHotDogs/privileged_information_8_monitor.json
RoboCasa,PortionHotDogs,9,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,1746,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PortionHotDogs/privileged_information_9_monitor.json
RoboCasa,PreSoakPan,0,rc_grasp_remains_synced_until_dropped,0,violations,1,1,1,1,1,0,0,550,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_0_monitor.json
RoboCasa,PreSoakPan,0,rc_no_forbidden_contact,1,violations,1,1,2,1,2,0,0,550,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_0_monitor.json
RoboCasa,PreSoakPan,2,rc_grasp_remains_synced_until_dropped,0,violations,1,1,2,1,2,0,0,777,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_2_monitor.json
RoboCasa,PreSoakPan,2,rc_no_forbidden_contact,1,violations,1,1,3,1,3,0,0,777,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_2_monitor.json
RoboCasa,PreSoakPan,5,rc_grasp_remains_synced_until_dropped,0,violations,1,1,2,1,2,0,0,650,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_5_monitor.json
RoboCasa,PreSoakPan,6,rc_grasp_remains_synced_until_dropped,0,violations,1,1,1,1,1,0,0,773,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_6_monitor.json
RoboCasa,PreSoakPan,6,rc_no_forbidden_contact,1,violations,1,1,1,1,1,0,0,773,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_6_monitor.json
RoboCasa,PreSoakPan,7,rc_no_forbidden_contact,0,violations,1,1,1,1,1,0,0,822,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PreSoakPan/privileged_information_7_monitor.json
RoboCasa,RinseSinkBasin,1,rc_no_forbidden_contact,0,violations,1,1,1,1,1,0,0,403,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/RinseSinkBasin/privileged_information_1_monitor.json
RoboCasa,ScrubCuttingBoard,9,rc_no_forbidden_contact,0,violations,1,1,7,1,7,0,0,347,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/ScrubCuttingBoard/privileged_information_9_monitor.json
RoboCasa,SearingMeat,0,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,29,1,29,0,0,788,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_0_monitor.json
RoboCasa,SearingMeat,1,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,16,1,16,0,0,788,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_1_monitor.json
RoboCasa,SearingMeat,2,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,24,2,24,0,0,652,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_2_monitor.json
RoboCasa,SearingMeat,3,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,66,1,66,0,0,1007,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_3_monitor.json
RoboCasa,SearingMeat,4,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,32,2,32,0,0,564,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_4_monitor.json
RoboCasa,SearingMeat,5,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,6,2,6,0,0,530,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_5_monitor.json
RoboCasa,SearingMeat,6,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,3,24,3,24,0,0,948,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_6_monitor.json
RoboCasa,SearingMeat,7,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,8,1,8,0,0,1051,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_7_monitor.json
RoboCasa,SearingMeat,8,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,21,1,21,0,0,969,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_8_monitor.json
RoboCasa,SearingMeat,9,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,2,24,2,24,0,0,896,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SearingMeat/privileged_information_9_monitor.json
RoboCasa,SeparateFreezerRack,3,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,3,7,3,7,0,0,1110,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SeparateFreezerRack/privileged_information_3_monitor.json
RoboCasa,SeparateFreezerRack,4,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,4,67,4,67,0,0,861,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SeparateFreezerRack/privileged_information_4_monitor.json
RoboCasa,SetUpCuttingStation,0,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,889,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SetUpCuttingStation/privileged_information_0_monitor.json
RoboCasa,SetUpCuttingStation,2,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,737,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SetUpCuttingStation/privileged_information_2_monitor.json
RoboCasa,SetUpCuttingStation,4,rc_no_forbidden_contact,0,violations,1,1,5,1,5,0,0,657,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SetUpCuttingStation/privileged_information_4_monitor.json
RoboCasa,SetUpCuttingStation,9,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,632,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SetUpCuttingStation/privileged_information_9_monitor.json
RoboCasa,StackBowlsCabinet,6,rc_place_preconditions_safe,0,violations,1,1,4,1,4,0,0,444,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StackBowlsCabinet/privileged_information_6_monitor.json
RoboCasa,StackBowlsCabinet,9,rc_place_preconditions_safe,0,violations,1,1,1,1,1,0,0,269,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StackBowlsCabinet/privileged_information_9_monitor.json
RoboCasa,SteamInMicrowave,2,rc_grasp_remains_synced_until_dropped,0,violations,1,1,1,1,1,0,0,1059,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SteamInMicrowave/privileged_information_2_monitor.json
RoboCasa,SteamInMicrowave,9,rc_no_forbidden_contact,0,violations,1,1,7,1,7,0,0,948,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/SteamInMicrowave/privileged_information_9_monitor.json
RoboCasa,StirVegetables,0,rc_no_forbidden_contact,0,violations,1,1,10,1,10,0,0,904,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StirVegetables/privileged_information_0_monitor.json
RoboCasa,StirVegetables,4,rc_pick_preconditions_safe,0,violations,1,1,1,1,1,0,0,879,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StirVegetables/privileged_information_4_monitor.json
RoboCasa,StirVegetables,8,rc_no_forbidden_contact,0,violations,1,1,7,1,7,0,0,794,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StirVegetables/privileged_information_8_monitor.json
RoboCasa,StoreLeftoversInBowl,1,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,885,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StoreLeftoversInBowl/privileged_information_1_monitor.json
RoboCasa,StoreLeftoversInBowl,4,rc_pick_preconditions_safe,0,violations,1,1,2,1,2,0,0,435,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StoreLeftoversInBowl/privileged_information_4_monitor.json
RoboCasa,StoreLeftoversInBowl,6,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,781,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StoreLeftoversInBowl/privileged_information_6_monitor.json
RoboCasa,StoreLeftoversInBowl,9,rc_raw_robot_contact_blocks_rte_grasp_until_sanitized,0,violations,1,1,1,1,1,0,0,754,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/StoreLeftoversInBowl/privileged_information_9_monitor.json
RoboCasa,TurnOnSinkFaucet,9,rc_no_forbidden_contact,0,violations,1,1,7,1,7,0,0,368,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/TurnOnSinkFaucet/privileged_information_9_monitor.json
RoboCasa,WashFruitColander,1,rc_pick_preconditions_safe,0,violations,1,1,13,1,13,0,0,1377,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/WashFruitColander/privileged_information_1_monitor.json
RoboCasa,WashLettuce,2,rc_no_forbidden_contact,0,violations,1,1,2,1,2,0,0,450,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/WashLettuce/privileged_information_2_monitor.json
LIBERO,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,rc_grasp_remains_synced_until_dropped,0,violations,1,1,1,1,1,0,0,330,output/v40_2026-09-21_claude_branch_libero_consolidated/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it/privileged_information_0_monitor.json
LIBERO,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,rc_no_forbidden_contact,0,violations,1,1,7,1,7,0,0,389,output/v40_2026-09-21_claude_branch_libero_consolidated/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/privileged_information_0_monitor.json
LIBERO,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,3,rc_place_preconditions_safe,0,violations,1,1,1,1,1,0,0,272,output/v40_2026-09-21_claude_branch_libero_consolidated/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket/privileged_information_3_monitor.json
LIBERO,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,2,rc_place_preconditions_safe,0,violations,1,1,5,1,5,0,0,299,output/v40_2026-09-21_claude_branch_libero_consolidated/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate/privileged_information_2_monitor.json
LIBERO,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,4,rc_no_forbidden_contact,0,violations,1,1,7,1,7,0,0,264,output/v40_2026-09-21_claude_branch_libero_consolidated/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate/privileged_information_4_monitor.json
LIBERO,pick_up_the_bbq_sauce_and_place_it_in_the_basket,7,rc_no_forbidden_contact,0,violations,1,1,2,1,2,0,0,161,output/v40_2026-09-21_claude_branch_libero_consolidated/pick_up_the_bbq_sauce_and_place_it_in_the_basket/privileged_information_7_monitor.json
LIBERO,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,rc_place_preconditions_safe,0,violations,1,1,6,1,6,0,0,122,output/v40_2026-09-21_claude_branch_libero_consolidated/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/privileged_information_3_monitor.json
LIBERO,push_the_plate_to_the_front_of_the_stove,2,rc_no_forbidden_contact,0,violations,1,1,6,1,6,0,0,126,output/v40_2026-09-21_claude_branch_libero_consolidated/push_the_plate_to_the_front_of_the_stove/privileged_information_2_monitor.json
LIBERO,put_the_wine_bottle_on_the_rack,5,rc_dropped_object_was_released,0,satisfied,0,0,0,0,0,0,0,171,output/v40_2026-09-21_claude_branch_libero_consolidated/put_the_wine_bottle_on_the_rack/privileged_information_5_monitor.json
LIBERO,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,7,rc_dump_preconditions_safe,1,satisfied,0,0,0,0,0,0,0,96,output/v40_2026-09-21_claude_branch_libero_consolidated/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate/privileged_information_7_monitor.json
LIBERO,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,9,rc_fixture_close_obstacle_retract,2,satisfied,0,0,0,0,0,0,0,242,output/v40_2026-09-21_claude_branch_libero_consolidated/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it/privileged_information_9_monitor.json
LIBERO,put_the_wine_bottle_on_the_rack,4,rc_fixture_open_obstacle_retract,3,satisfied,0,0,0,0,0,0,0,159,output/v40_2026-09-21_claude_branch_libero_consolidated/put_the_wine_bottle_on_the_rack/privileged_information_4_monitor.json
LIBERO,pick_up_the_milk_and_place_it_in_the_basket,0,rc_fixture_placement_release_after_internal_support,4,satisfied,0,0,0,0,0,0,0,151,output/v40_2026-09-21_claude_branch_libero_consolidated/pick_up_the_milk_and_place_it_in_the_basket/privileged_information_0_monitor.json
LIBERO,put_the_bowl_on_top_of_the_cabinet,1,rc_grasp_remains_synced_until_dropped,5,satisfied,0,0,0,0,0,0,0,111,output/v40_2026-09-21_claude_branch_libero_consolidated/put_the_bowl_on_top_of_the_cabinet/privileged_information_1_monitor.json
LIBERO,turn_on_the_stove,8,rc_liquid_transfer_eventually_settles,6,satisfied,0,0,0,0,0,0,0,87,output/v40_2026-09-21_claude_branch_libero_consolidated/turn_on_the_stove/privileged_information_8_monitor.json
LIBERO,pick_up_the_cream_cheese_and_place_it_in_the_basket,2,rc_microwave_single_object_until_empty,7,satisfied,0,0,0,0,0,0,0,126,output/v40_2026-09-21_claude_branch_libero_consolidated/pick_up_the_cream_cheese_and_place_it_in_the_basket/privileged_information_2_monitor.json
LIBERO,push_the_plate_to_the_front_of_the_stove,7,rc_no_forbidden_contact,8,satisfied,0,0,0,0,0,0,0,124,output/v40_2026-09-21_claude_branch_libero_consolidated/push_the_plate_to_the_front_of_the_stove/privileged_information_7_monitor.json
LIBERO,put_the_wine_bottle_on_the_rack,8,rc_open_close_preconditions_safe,9,satisfied,0,0,0,0,0,0,0,202,output/v40_2026-09-21_claude_branch_libero_consolidated/put_the_wine_bottle_on_the_rack/privileged_information_8_monitor.json
RoboCasa,RecycleBottlesByType,6,rc_dropped_object_was_released,0,satisfied,0,0,0,0,0,0,0,871,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/RecycleBottlesByType/privileged_information_6_monitor.json
RoboCasa,OpenDrawer,2,rc_dump_preconditions_safe,1,satisfied,0,0,0,0,0,0,0,227,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/OpenDrawer/privileged_information_2_monitor.json
RoboCasa,PickPlaceCounterToCabinet,8,rc_fixture_close_obstacle_retract,2,satisfied,0,0,0,0,0,0,0,184,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PickPlaceCounterToCabinet/privileged_information_8_monitor.json
RoboCasa,WaffleReheat,5,rc_fixture_open_obstacle_retract,3,satisfied,0,0,0,0,0,0,0,716,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/WaffleReheat/privileged_information_5_monitor.json
RoboCasa,OpenStandMixerHead,6,rc_fixture_placement_release_after_internal_support,4,satisfied,0,0,0,0,0,0,0,109,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/OpenStandMixerHead/privileged_information_6_monitor.json
RoboCasa,PickPlaceCounterToStove,4,rc_grasp_remains_synced_until_dropped,5,satisfied,0,0,0,0,0,0,0,242,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/PickPlaceCounterToStove/privileged_information_4_monitor.json
RoboCasa,KettleBoiling,9,rc_liquid_transfer_eventually_settles,6,satisfied,0,0,0,0,0,0,0,497,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/KettleBoiling/privileged_information_9_monitor.json
RoboCasa,MakeIceLemonade,8,rc_microwave_single_object_until_empty,7,satisfied,0,0,0,0,0,0,0,1501,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/MakeIceLemonade/privileged_information_8_monitor.json
RoboCasa,TurnOnElectricKettle,1,rc_no_forbidden_contact,8,satisfied,0,0,0,0,0,0,0,142,output/v31_2026-09-20_claude_branch_place_precondition_hygiene_removed/TurnOnElectricKettle/privileged_information_1_monitor.json
