29,SetUpCuttingStation,Composite-Seen,4. Cooking / ingredient prep,2,"Pick & Place, Open Drawer, Navigation","Open Drawer, Pick, Navigation, Place, Navigation, Pick, Navigation, Place",Yes,"Knife, Drawer, Cutting Board, Meat, Plate",Pick up the knife from the drawer and place it on the cutting board. Then place the meat from the plate to the cutting board.
30,StackBowlsCabinet,Composite-Seen,6. Storage / organization,2,"Pick & Place, Navigation","Pick & Place, Pick & Place",Yes,"Bowls, Cabinet",Pick up the bowls on the counter and stack them on top of one another in the open cabinet. Place the smaller bowl on top of the larger bowl.
31,SteamInMicrowave,Composite-Seen,4. Cooking / ingredient prep,6,"Pick & Place, Close Door, Press Button, Navigation","Pick & Place, Pick, Navigation, Place, Close Door, Press Button",Yes,"Vegetable, Sink, Bowl, Microwave",Pick the item from the sink and place it in the bowl. Then pick the bowl and place it in the microwave. Then close the microwave door and press the start button.
32,StirVegetables,Composite-Seen,4. Cooking / ingredient prep,4,"Pick & Place, Navigation","Pick & Place, Pick & Place, Pick & Place, Stir",Yes,"Vegetables, Pot, Spatula",Put the items in the pot. Retrieve the spatula and lightly stir the vegetables in the pot.
33,StoreLeftoversInBowl,Composite-Seen,6. Storage / organization,5,"Pick & Place, Navigation","Pick & Place, Pick & Place, Pick, Navigation, Place",Yes,"Chicken Drumstick, Vegetable, Bowl, Fridge",Pick the chicken drumstick and item from their plates and place them in the bowl. Then put the bowl in the fridge.
34,WashLettuce,Composite-Seen,4. Cooking / ingredient prep,2,"Pick & Place, Turn Lever","Turn Lever, Pick & Place",No,"Lettuce, Sink, Sink Faucet",Wash the lettuce in the sink by running water over it.
35,ArrangeBreadBasket,Composite-Unseen,6. Storage / organization,5,"Pick & Place, Open Door, Navigation","Open Door, Pick & Place, Pick, Navigation, Place",Yes,"Bread, Cabinet, Basket","Open the cabinet, pick up the item from the cabinet and place it in the basket. Then move the basket to the dining counter."
36,ArrangeTea,Composite-Unseen,2. Beverage preparation / serving,3,"Pick & Place, Close Door","Pick & Place, Pick & Place, Close Door",No,"Kettle, Mug, Cabinet, Tray",Pick the kettle from the counter and place it on the tray. Then pick the mug from the cabinet and place it on the tray. Then close the cabinet doors.
37,BreadSelection,Composite-Unseen,3. Bread / breakfast / reheating,2,"Pick & Place, Navigation","Pick & (Navigation) Place, Pick & (Navigation) Place",Yes,"Croissant, Jam Jar, Cabinet, Cutting Board","From the different types of pastries on the counter, select a croissant and place it on the cutting board. Then retrieve a jar of jam from the cabinet and place it alongside the croissant on the cutting board."
38,CategorizeCondiments,Composite-Unseen,6. Storage / organization,2,Pick & Place,"Pick & Place, Pick & Place",No,"Shaker, Condiment Bottle, Cabinet",Put the shaker and condiment bottle from the counter next to their counterparts in the cabinet.
39,CuttingToolSelection,Composite-Unseen,4. Cooking / ingredient prep,2,"Pick & Place, Open Drawer","Open Drawer, Pick & Place",No,"Cutting Tool, Fruit or Vegetable, Cutting Board",Place the appropriate cutting tool for cutting the item skin on the cutting board.
40,GarnishPancake,Composite-Unseen,3. Bread / breakfast / reheating,4,"Pick & Place, Open Door, Navigation","Open Door, Pick, Navigation, Place",Yes,"Strawberry, Fridge, Pancake","Take the strawberry from the fridge and place it on top of the pancake, located on the dining counter."
41,GatherTableware,Composite-Unseen,6. Storage / organization,4,"Pick & Place, Navigation","Pick & (Navigation) Place, Pick & (Navigation) Place, Pick & (Navigation) Place, Pick & (Navigation) Place",Yes,"Glasses, Bowls, Cabinet",Gather all objects into one cabinet and sort the glasses and bowls to opposite sides.
42,HeatKebabSandwich,Composite-Unseen,3. Bread / breakfast / reheating,6,"Pick & Place, Close Door, Twist Knob, Navigation","Pick & Place, Pick & Place, Close Door, Twist Knob",Yes,"Kebab Skewer, Baguette Bread, Toaster Oven","Pick up the kebab skewer and baguette bread, and place them inside the toaster oven. Close the toaster oven door and start by setting the timer."
43,MakeIceLemonade,Composite-Unseen,2. Beverage preparation / serving,5,"Pick & Place, Open Door, Navigation","Open Door, Pick, Navigation, Place, Pick & Place",Yes,"Lemon Wedge, Fridge, Ice Cube, Ice Bowl, Glass of Lemonade","Grab a lemon wedge from the fridge and one ice cube from the ice bowl, and put them in the glass of lemonade."
44,PanTransfer,Composite-Unseen,7. Plating / serving / portioning,3,Pick & Place,"Pick, Dump, Place",No,"Pan, Vegetables, Plate, Stove",Pick up the pan and dump the vegetables in it onto the plate. Then return the pan to the stove.
45,PortionHotDogs,Composite-Unseen,7. Plating / serving / portioning,4,"Pick & Place, Navigation","Pick & Place, Pick & Place, Pick & Place, Pick & Place",Yes,"Bun, Sausage, Bowl, Plate",Place one bun and one sausage from the bowl on each plate.
46,RecycleBottlesByType,Composite-Unseen,6. Storage / organization,3,"Pick & Place, Navigation","Pick & Place, Pick & Place, Pick & Place",Yes,"Plastic Bottles, Glass Bottles","Move the plastic bottles in the middle to the plastics group, and the glass bottles in the middle to the glass group."
47,SeparateFreezerRack,Composite-Unseen,6. Storage / organization,7,"Pick & Place, Navigation","Pick, Navigation, Place, Navigation, Pick, Navigation, Place",Yes,"Meat Container, Meat, Vegetable Container, Vegetables, Freezer",Take the meat container that has the meat item(s) and place it on the second highest rack of the freezer. Then take the vegetable container that has the vegetable(s) and place it on the highest rack of the freezer.
48,WaffleReheat,Composite-Unseen,3. Bread / breakfast / reheating,4,"Pick & Place, Open Door, Close Door, Press Button, Navigation","Open Door, Pick & Place (& Navigate), Close Door, Press Button",Yes,"Bowl, Waffle, Microwave","Open the microwave, place the bowl with waffle inside the microwave, then close the microwave door and turn it on."
49,WashFruitColander,Composite-Unseen,4. Cooking / ingredient prep,4,"Pick & Place, Turn Lever","Pick & Place, Pick & Place, Pick & Place,Turn Lever",No,"Colander, Fruit, Sink, Sink Faucet","Put the colander in the sink, put the item in the colander, and turn on the sink faucet and pour water over the colander."
50,WeighIngredients,Composite-Unseen,4. Cooking / ingredient prep,2,"Pick & Place, Close Door","Pick & Place, Close Door",No,"Packaged Food, Digital Scale, Cabinet","Pick the item and place it on the digital scale for weighing, and close the cabinet."
,,,,,,,,,
,TODOs: differentiate doors,,,,,,,,
